site,location,region,species,life_stage,temporal_group,season,year,N,num_infected,num_infected_discrete,mean_natural_with_zeros,var_natural_with_zeros,mean_natural_without_zeros,var_natural_without_zeros,mean_log10_without_zeros,var_log10_without_zeros,mean_discrete_ceiling_with_zeros,var_discrete_ceiling_with_zeros,mean_discrete_floor_with_zeros,var_discrete_floor_with_zeros,nbd_k,nbd_mu,nbd_aic,pois_lam,pois_aic,gamma_aic,gamma_shape,gamma_rate,lnorm_aic,lnorm_meanlog,lnorm_sdlog,weibull_aic,weibull_shape,weibull_scale,exp_aic,exp_rate,norm_gof_pvalue_sw,norm_gof_statistic_sw,norm_gof_pvalue_ks,norm_gof_statistic_ks,norm_gof_pvalue_kslc,norm_gof_statistic_kslc,norm_gof_pvalue_ad,norm_gof_statistic_ad,poulin_D,poulin_D_log,cv_log,log_cv,cv,dataset
Barn,usa,east_bay,PSRE,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
BNPND001,usa,east_bay,PSRE,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
BNPND002,usa,east_bay,PSRE,unknown,2,summer,2,10,1,0,0.0089304933,0.000797537105813449,0.089304933,,-1.04912455101618,,0.1,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,east_bay
BNPND019,usa,east_bay,PSRE,unknown,2,summer,2,10,1,1,0.23410764,0.548063871063696,2.3410764,,0.369415586937548,,0.3,0.9,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,east_bay
BNPND020,usa,east_bay,PSRE,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
BNPND024,usa,east_bay,PSRE,unknown,2,summer,2,10,6,6,10.8411032931,455.771822883736,18.0685054885,663.683253708507,0.883784101800118,0.433585483608975,11.2,454.4,10.6,444.711111111111,0.253336150846538,11.1997983659664,63.7873115643344,11.2000000265601,278.912394942982,,,,,,,,,,,,,,,,,,,,0.606037381388878,0.383438595240765,0.745059886564234,0.154058197776212,1.42579864542169,east_bay
CA-BN003,usa,east_bay,PSRE,unknown,2,summer,2,10,2,1,0.1939288934,0.168547740361629,0.969644467,0.01259303544072,-0.0148465862335013,0.00253757337651243,0.3,0.455555555555556,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.040917368530707,-1.19960344957933,-3.39299093572927,-0.936547310822196,0.115731795025488,east_bay
Ca-BN004,usa,east_bay,PSRE,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
Ca-BN017,usa,east_bay,PSRE,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
Ca-BN018,usa,east_bay,PSRE,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
Ca-Mud65,usa,east_bay,PSRE,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
Ca-Mud66,usa,east_bay,PSRE,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
CA-SF30,usa,east_bay,PSRE,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
CA-SF79,usa,east_bay,PSRE,unknown,2,summer,2,10,4,4,9.9240741337,333.389782713237,24.81018533425,507.733111083844,1.20608830318838,0.264465288747104,10.2,345.066666666667,9.8,331.733333333333,0.128264927305297,10.1979699962649,53.513103479804,10.2000000320313,271.4027797163,,,,,,,,,,,,,,,,,,,,0.42967384642412,0.204531571185064,0.426388255285923,-0.0418122653932617,0.908213043043983,east_bay
GDPND004,usa,east_bay,PSRE,unknown,2,summer,2,10,1,1,0.2688908133,0.723022694771355,2.688908133,,0.42957596473252,,0.3,0.9,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,east_bay
GDPND009,usa,east_bay,PSRE,unknown,2,summer,2,10,4,4,35.5496206237,5742.17890319704,88.87405155925,10907.6590771461,1.58523035311501,0.525160663266535,35.7,5765.12222222222,35.3,5717.78888888889,0.0925368413538415,35.7809209838,62.2076639515239,35.7000000026148,1064.2782700794,,,,,,,,,,,,,,,,,,,,0.536218917284777,0.216776088326936,0.457144727005466,0.0700907986399605,1.17514321832483,east_bay
Hidden,usa,east_bay,PSRE,unknown,2,summer,2,10,2,2,2.9903887737,67.4912966268269,14.9519438685,249.724668926602,0.997154816340529,0.352665935071857,3.1,72.1,2.9,66.7666666666667,,,,,,,,,,,,,,,,,,,,,,,,,0.373669861918128,0.210559175457859,0.595551283229199,0.0240330650398241,1.0568979731494,east_bay
MUD31,usa,east_bay,PSRE,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
MUD77,usa,east_bay,PSRE,unknown,2,summer,2,10,1,1,2.860474349,81.8231350128698,28.60474349,,1.4564380576295,,2.9,84.1,2.8,78.4,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,east_bay
MUDRS,usa,east_bay,PSRE,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
NorthGCP,usa,east_bay,PSRE,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
PRNTH1,usa,east_bay,PSRE,unknown,2,summer,2,10,2,1,1.202029253,14.3961647247073,6.010146265,71.770509519656,-0.312989539827215,3.87639518450244,1.4,16.7111111111111,1.2,14.4,,,,,,,,,,,,,,,,,,,,,,,,,0.498359773695125,-2.22402264858221,-6.29048598529978,0.149087973440655,1.40957430180166,east_bay
PRNTH3,usa,east_bay,PSRE,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
PRNTH4,usa,east_bay,PSRE,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
PRNTHIDK,usa,east_bay,PSRE,unknown,2,summer,2,10,4,4,11.066352467,407.068384719997,27.6658811675,608.884369540606,1.25871190034169,0.275043089058909,11.3,419.344444444444,10.9,404.544444444444,0.125273463462758,11.2967483957682,54.6066989933799,11.3000000261053,295.136812689839,,,,,,,,,,,,,,,,,,,,0.406401163360849,0.190890372880242,0.416652536723601,-0.0496770944065636,0.891913845308554,east_bay
PRNTHOWL,usa,east_bay,PSRE,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
PRPND009,usa,east_bay,PSRE,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
PRPND010,usa,east_bay,PSRE,unknown,2,summer,2,10,7,6,35.6587889203,6853.30587993192,50.941127029,9371.70937185323,1.00575342531659,1.20794115113181,36.1,6851.87777777778,35.4,6828.04444444445,0.233828977710585,36.0905015247141,80.8777912237419,36.1000000025864,1016.9209030603,,,,,,,,,,,,,,,,,,,,0.705802766733519,0.516013021612807,1.09277655289188,0.27884085693689,1.90038177557434,east_bay
PRPND015,usa,east_bay,PSRE,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
TGIF,usa,east_bay,PSRE,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
VPPND006,usa,east_bay,PSRE,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
YBBA,usa,east_bay,PSRE,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
BARN,usa,east_bay,RACA,unknown,2,summer,2,11,1,0,0.0124787079090909,0.00171289966188449,0.137265787,,-0.862437695601346,,0.0909090909090909,0.0909090909090909,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,east_bay
CA-MCCRY,usa,east_bay,RACA,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
cow_pit,usa,pennsylvania,rana_clamitans,unknown,2,spring,2,24,23,23,39636.570900595,8714813267.0918,41359.9000701861,9036424569.61536,3.66759562287952,1.08120261001623,39637.0833333333,8714796064.86232,39636.125,8714792618.20109,0.264526010924163,39615.6843618616,510.259589857167,39637.0833333333,2785052.17201216,506.830419560293,0.197909886183696,4.78506683642492e-06,496.877721691416,8.4449510083726,2.34162126715256,499.259398935475,0.452208997009414,14958.3175403981,536.983086281743,2.41780081263021e-05,0.841929564774005,0.976647712513875,4.44089209850063e-16,0.999979680239469,0.7028,0.106881940079155,0.904361795157734,0.180310555832012,0.810732632614647,0.157383550927864,0.283512425166144,0.361418833077144,2.29836411924009,serdp
BNPND002,usa,east_bay,TAGR,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
BNPND005,usa,east_bay,TAGR,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
Ca-Mud65,usa,east_bay,TAGR,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
GDPND004,usa,east_bay,TAGR,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
GDPND005,usa,east_bay,TAGR,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
GDPND009,usa,east_bay,TAGR,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
MUD23,usa,east_bay,TAGR,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
MUD31,usa,east_bay,TAGR,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
MUD35,usa,east_bay,TAGR,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
MUD40,usa,east_bay,TAGR,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
MUD41,usa,east_bay,TAGR,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
MUDRS,usa,east_bay,TAGR,unknown,2,summer,2,10,1,0,0.0756738267,0.0572652804742163,0.756738267,,-0.121054303924952,,0.1,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,east_bay
PRNTH1,usa,east_bay,TAGR,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
PRNTH4,usa,east_bay,TAGR,unknown,2,summer,2,10,1,1,9.614660933,924.417048565564,96.14660933,,1.98293397317943,,9.7,940.9,9.6,921.6,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,east_bay
PRNTHIDK,usa,east_bay,TAGR,unknown,2,summer,2,10,1,0,0.0065004,0.0004225520016,0.065004,,-1.18705991836517,,0.1,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,east_bay
PRNTHMIT,usa,east_bay,TAGR,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
Barn,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
BNPND002,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
BNPND019,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
BNPND024,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
Ca-BN016,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
Ca-BN018,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
Ca-Manza,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
Ca-Mud65,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
Ca-Mud66,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
Ca-Mud67,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
CA-SF79,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
EagleGCP,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
GLORGCP,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
Hidden,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
MUD23,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
MUD31,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
MUD35,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
MUD39,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
MUD40,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
MUD41,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
MUD70,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
MUDRS,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
PRNTHIDK,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
PRPND004,usa,east_bay,TATO,unknown,2,summer,2,10,1,0,0.0014227333,2.02417004292889e-05,0.014227333,,-1.84687650342508,,0.1,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,east_bay
PRPND009,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
PRPND010,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
TGIF,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
YBBA,usa,east_bay,TATO,unknown,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
kisatchie_bayou,usa,louisiana,acris_blanchardi,adult,3,summer,3,25,2,2,6.7771924976,624.130850396961,84.71490622,1774.16819153841,1.89930913930239,0.0508754188787864,6.8,628.916666666667,6.72,615.96,,,,,,,,,,,,,,,,,,,,,,,,,0.175789352482152,0.0419868552098647,0.118756760158372,-0.303462440079624,0.497207372802087,serdp
solomon_lane,usa,louisiana,acris_blanchardi,adult,3,summer,3,13,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serdp
juan_julio,panama,el_cope,colostethus_panamensis,adult,3,wet,3,15,3,2,1.09333333333333,13.5976380952381,5.46666666666667,59.3221333333333,0.3909498094776,0.440956296905947,1.2,14.8857142857143,1,13,0.0798895771806167,1.19977008688264,34.2698890015986,1.20000002777779,88.6212610842193,,,,,,,,,,,,,,,,,,,,0.544715447154472,0.667822699364817,1.69854387096825,0.148885787005862,1.40891822514289,panama
medina,panama,el_cope,colostethus_panamensis,adult,3,wet,3,44,6,6,2.21,50.1891069767442,16.2066666666667,159.419146666667,1.04571412799086,0.222540207058978,2.27272727272727,52.3424947145877,2.13636363636364,48.446088794926,0.0363023195075431,2.27189455776004,88.4306926472272,2.27272729544293,478.820680397654,,,,,,,,,,,,,,,,,,,,0.39085424379542,0.22454768339952,0.451119155271671,-0.108423459725877,0.77907010615568,panama
miguel_de_la_borda,panama,caribbean,colostethus_panamensis,adult,3,wet,3,12,6,6,33.3766666666667,5583.96464242424,66.7533333333333,9611.11770666667,1.11025505443679,0.844861144111526,33.5833333333333,5587.17424242424,33.0833333333333,5550.81060606061,0.120753744525987,33.589737361931,76.0408435150333,33.5833333368576,1317.75050325781,,,,,,,,,,,,,,,,,,,,0.639385465561437,0.384247956733695,0.827884800992246,0.166913990918724,1.46863539554612,panama
rio_tigrero,panama,el_cope,colostethus_panamensis,adult,3,wet,3,27,11,11,2.90962962962963,48.2046267806268,7.14181818181818,92.0839563636364,0.577296463047906,0.242013051944168,3.07407407407407,50.6866096866097,2.7037037037037,46.985754985755,0.18571795662114,3.0739787514287,104.299584687176,3.0740741121694,280.86904756493,69.1946979594838,0.916086567662546,0.128240551765171,66.1545827823722,1.3292742300523,1.08003726485116,68.9436122237972,0.888321773263735,6.66492435058073,67.2512826074525,0.140020370018187,0.304619662574114,0.918285699645488,0.00568628815296868,0.516229544916843,0.2704,0.198179292351959,0.307977498061529,0.395715323080783,0.578781707091279,0.450615000183,0.852158730019781,0.128283195566305,1.34364083939185,panama
tryon_weber,usa,pennsylvania,desmognathus_fuscus,adult,3,summer,3,22,8,8,179.373552145455,142947.272131761,493.2772684,251880.024744253,2.480801311211,0.215131923072165,179.5,142996.357142857,179.136363636364,142757.266233766,0.0639116638773384,179.43524018399,158.197427094896,179.500000000455,11387.3170070291,,,,,,,,,,,,,,,,,,,,0.493370638851133,0.0975362419809773,0.186965057286393,0.00750576123168434,1.01743286307686,serdp
tryon_weber,usa,pennsylvania,desmognathus_ochrophaeus,adult,3,summer,3,24,3,3,290.338869133333,967570.4838554,2322.71095306667,4046141.21424877,3.25051985589286,0.153670951180356,290.416666666667,967839.731884058,290.291666666667,967309.519927536,0.0139836686829853,290.592128925199,81.1982983839817,290.416666667576,32404.30275385,,,,,,,,,,,,,,,,,,,,0.366559672939404,0.0533624811077998,0.120598822213172,-0.0624746499165728,0.866014871800016,serdp
west,usa,tennessee,gastrophryne_carolinensis,adult,3,summer,3,21,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serdp
deer,usa,tennessee,hyla_chrysoscelis,adult,3,summer,3,34,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serdp
kurthwood,usa,louisiana,hyla_chrysoscelis,adult,3,summer,3,16,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serdp
newt,usa,tennessee,hyla_chrysoscelis,adult,3,summer,3,33,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serdp
pine,usa,tennessee,hyla_chrysoscelis,adult,3,summer,3,27,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serdp
sink,usa,tennessee,hyla_chrysoscelis,adult,3,summer,3,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serdp
west,usa,tennessee,hyla_chrysoscelis,adult,3,summer,3,33,3,3,314.459882787879,2028079.40663586,3459.05871066667,16133242.5554843,3.34069517398533,0.241701743612851,314.515151515152,2028606.75757576,314.424242424242,2028017.12689394,0.00940197822345242,314.803600326758,84.7752034586929,314.515151515152,58518.0305120773,,,,,,,,,,,,,,,,,,,,0.448124618648421,0.0571062583181444,0.147164494161149,0.0649028982657803,1.16118896037377,serdp
horse_head_permanent,usa,louisiana,hyla_cinerea,adult,3,summer,3,31,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serdp
kisatchie_bayou,usa,louisiana,hyla_cinerea,adult,3,summer,3,12,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serdp
deer,usa,tennessee,hyla_gratiosa,adult,3,summer,3,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serdp
david's_pond,usa,pennsylvania,hyla_versicolor,adult,3,summer,3,15,2,2,2593.43093621067,100411194.532923,19450.73202158,749983031.423704,3.26183815306635,3.52274048433447,2593.53333333333,100413799.838095,2593.4,100408983.4,,,,,,,,,,,,,,,,,,,,,,,,,0.497788403154582,0.203438396210023,0.57541067805529,0.148589768242153,1.40795822186651,serdp
phelps_pond,usa,pennsylvania,hyla_versicolor,adult,3,summer,3,18,3,3,332.665959133333,1902556.70324632,1995.9957548,11191733.1611192,2.44548136148385,1.33417347693621,332.777777777778,1902591.00653595,332.611111111111,1902003.89869281,0.0190730881294135,332.533282173919,68.2921828543179,332.777777777778,33223.2257802924,,,,,,,,,,,,,,,,,,,,0.647502558572743,0.193948495658565,0.472325936371369,0.224289060201302,1.67605806515642,serdp
rv_pond,usa,pennsylvania,hyla_versicolor,adult,3,summer,3,13,1,1,13.1215785107692,2238.28569398565,170.58052064,,2.23192943561479,,13.1538461538462,2249.30769230769,13.0769230769231,2223.07692307692,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,serdp
pilar_f1,brazil,santa_virginia,ischnocnema_henselii,adult,3,wet,3,16,8,8,478.514788998292,793757.342188779,957.029577996584,1177533.95431291,2.67546382009317,0.349723719158686,478.8125,793955.229166667,478.3125,793444.7625,0.0957772618811717,479.033223657246,159.097752453937,478.8125,18843.1961775204,,,,,,,,,,,,,,,,,,,,0.547100920212787,0.116274916516561,0.221036228500728,0.0545613591459377,1.13386502451773,brazil
slp_f4,brazil,santa_virginia,ischnocnema_henselii,adult,3,wet,3,11,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brazil
deer,usa,tennessee,lithobates_sphenocephalus,adult,3,summer,3,11,1,1,6.35922085090909,444.836588137007,69.95142936,,1.84479659312118,,6.36363636363636,445.454545454545,6.27272727272727,432.818181818182,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,serdp
horse_head_ephemeral,usa,louisiana,lithobates_sphenocephalus,adult,3,summer,3,15,8,8,654.701641157333,2660838.76837625,1227.56557717,4517988.33875106,2.48692867132826,0.626204192181073,654.933333333333,2660843.35238095,654.4,2660188.68571429,0.0961933084892731,654.880137629318,151.917740231387,654.933333333333,31888.7632969487,,,,,,,,,,,,,,,,,,,,0.714682897513754,0.166179092311046,0.318195956193158,0.238427851176263,1.73152135128018,serdp
sink,usa,tennessee,lithobates_sphenocephalus,adult,3,summer,3,20,6,6,587.213048948,2350559.93239902,1957.37682982667,5713815.53780474,2.97379827400933,0.367582369593353,587.4,2351319.2,587.1,2350453.77894737,0.0407071494013558,587.974841045835,138.210627567728,587.4,41559.1811707152,,,,,,,,,,,,,,,,,,,,0.562428571777043,0.103891350140365,0.203875871957149,0.086788664741448,1.2212052558069,serdp
altos_de_piedra,panama,santa_fe,lithobates_warszewitschii,adult,3,wet,3,18,14,14,42354.0755555556,12254398197.0136,54455.24,15315320303.9852,3.35182518798011,2.33012547540282,42354.4444444445,12254408739.7909,42353.7777777778,12254379465.4771,0.120571435384934,42361.110238692,311.697778428088,42354.4444444445,2506207.21857102,295.139088514416,0.208515311990236,3.82911381880304e-06,293.988741382387,7.71786271216498,3.38698287690013,294.068588887121,0.339933766307068,11769.1581145966,335.343762046648,1.83637056782782e-05,0.541429490387926,0.948747170455948,0,0.982940489801364,0.5564,0.147554417102597,0.628934361767333,0.267400301055623,0.802123860751303,0.250003036427123,0.455416009761741,0.356523365583096,2.27260190078965,panama
rio_maria,panama,el_valle,lithobates_warszewitschii,adult,3,wet,3,28,25,25,2445.41,66593947.3673037,2738.8592,74080986.5786827,2.3568246619637,0.890057800498465,2445.85714285714,66593989.6084656,2445.03571428571,66593126.4801587,0.209047158943443,2446.37257772346,414.17812547538,2445.85714287169,274074.781596821,415.45389794635,0.105477887330123,3.85116136419584e-05,384.055743881931,5.42678933343834,2.12843509176395,391.559791490878,0.431912952510385,699.164403519053,447.764838115964,0.000365115519629487,0.149183056549,0.940145807977825,3.33066907387547e-16,0.995273957794463,0.794,0.0962092021705669,0.32719467905595,0.405330263795573,0.872373911006451,0.219356874677546,0.400296535477168,0.497283672227719,3.14256067967964,panama
10090,usa,california,ramu,adult,3,summer,3,25,2,2,645.12,10340175.36,8064,128512512,2.94376364089401,3.18792563877187,645.12,10340175.36,645.12,10340175.36,,,,,,,,,,,,,,,,,,,,,,,,,0.49702380952381,0.214440178888649,0.606528418604079,0.147922187253711,1.40579562450183,sierra_nevada
10206,usa,california,ramu,adult,3,summer,3,13,1,1,25.8461538461539,8684.30769230769,336,,2.52633927738984,,25.8461538461539,8684.30769230769,25.8461538461539,8684.30769230769,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,sierra_nevada
10223,usa,california,ramu,adult,3,summer,3,26,1,1,7.38461538461539,1417.84615384615,192,,2.28330122870355,,7.38461538461539,1417.84615384615,7.38461538461539,1417.84615384615,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,sierra_nevada
