site,location,region,species,life_stage,temporal_group,season,year,N,num_infected,num_infected_discrete,mean_natural_with_zeros,var_natural_with_zeros,mean_natural_without_zeros,var_natural_without_zeros,mean_log10_without_zeros,var_log10_without_zeros,mean_discrete_ceiling_with_zeros,var_discrete_ceiling_with_zeros,mean_discrete_floor_with_zeros,var_discrete_floor_with_zeros,nbd_k,nbd_mu,nbd_aic,pois_lam,pois_aic,gamma_aic,gamma_shape,gamma_rate,lnorm_aic,lnorm_meanlog,lnorm_sdlog,weibull_aic,weibull_shape,weibull_scale,exp_aic,exp_rate,norm_gof_pvalue_sw,norm_gof_statistic_sw,norm_gof_pvalue_ks,norm_gof_statistic_ks,norm_gof_pvalue_kslc,norm_gof_statistic_kslc,norm_gof_pvalue_ad,norm_gof_statistic_ad,poulin_D,poulin_D_log,cv_log,log_cv,cv,dataset
sink,usa,tennessee,lithobates_sphenocephalus,adult,1,fall,1,17,6,6,1325.11475955294,7854416.50865539,3754.49181873333,14188841.2757238,3.34888901134515,0.269558226491018,1325.23529411765,7854943.94117647,1324.88235294118,7853121.98529412,0.0482046772139496,1325.0816875363,146.544611592628,1325.23529411765,65346.0800554726,,,,,,,,,,,,,,,,,,,,0.488411561614272,0.0795927992728487,0.155033496101701,0.00142230292654391,1.00328034210121,serdp
west,usa,tennessee,lithobates_sphenocephalus,adult,1,fall,1,13,7,7,8306.02279116616,420277624.927271,15425.47089788,712430937.01228,3.68319323414321,0.558335837972884,8306.30769230769,420280670.397436,8305.76923076923,420272364.358974,0.0798669618376553,8302.88325574477,174.128483312617,8306.30769230769,331969.328434461,,,,,,,,,,,,,,,,,,,,0.681570347179167,0.10308965422835,0.202872531394397,0.238132954384659,1.73034600416043,serdp
camp_ethan_allen_pond,usa,vermont,notophthalmus_viridescens,adult,1,fall,1,21,15,15,5309.72662968952,149534183.723499,7433.61728156533,196704344.332921,3.10152957141212,0.933912279704981,5310.09523809524,149534464.090476,5309.38095238095,149531278.247619,0.137509800267692,5312.69093704327,313.218584512914,5310.09523809524,324784.408915002,286.890381627099,0.300988336851707,4.04901578129573e-05,283.774717518047,7.14153575661377,2.1497458534392,284.840088063497,0.507675235942774,3671.66299256029,299.413036020927,0.00013452400925723,0.652542449864004,0.957702393364562,0,0.99990114109412,0.9152,0.106550752030933,0.784155204006741,0.224164139310059,0.753226341259039,0.171058152259591,0.311585412162278,0.275706778076321,1.88671706716638,serdp
newt,usa,tennessee,notophthalmus_viridescens,adult,1,fall,1,11,9,9,3727.68380524,33665920.5388266,4556.05798418222,37836514.7826907,3.21044301783994,0.594461563423521,3728.09090909091,33665767.8909091,3727.27272727273,33664276.8181818,0.240222428952912,3727.19884238124,185.34852566006,3728.09090909091,73878.2624734757,,,,,,,,,,,,,,,,,,,,0.612018073361389,0.125359432946213,0.240157925605216,0.130366320168184,1.35010119033872,serdp
beaver,usa,pennsylvania,pseudacris_crucifer,adult,1,fall,1,12,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serdp
50183,usa,california,ramu,adult,1,summer,1,19,2,2,416.842105263158,1829389.47368421,3960,4867200,3.5610751597204,0.0654235136749854,416.842105263158,1829389.47368421,416.842105263158,1829389.47368421,,,,,,,,,,,,,,,,,,,,,,,,,0.196969696969697,0.0253945662330526,0.0718266799547298,-0.25405558973906,0.557114433662128,sierra_nevada
72996,usa,california,ramu,adult,1,summer,1,19,16,16,38723.3684210526,6470502359.57895,45984,7408471756.8,4.09818600239168,0.632781101073194,38723.3684210526,6470502359.57895,38723.3684210526,6470502359.57895,0.214209615444531,38731.4976817072,394.403254010704,38723.3684210526,1733613.92502793,374.526194378711,0.304448323546587,6.62074468394631e-06,369.705867233283,9.43642199742393,1.77348727550228,370.564259004484,0.614016079417579,29776.097309483,377.55356124412,2.17466945024356e-05,0.869818209655283,0.971996333036379,0,0.99999997881037,0.7004,0.127306321922994,0.643379571080251,0.265562541277028,0.712250456680585,0.103632415187407,0.194104267757594,0.27225756832906,1.87179192048311,sierra_nevada
horse_head_ephemeral,usa,louisiana,rana_clamitans,adult,1,fall,1,17,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serdp
kurthwood,usa,louisiana,rana_clamitans,adult,1,fall,1,22,2,2,2.89218490727273,90.5464623207743,31.81403398,61.2343304079058,1.49594860171151,0.0116466603987133,2.95454545454545,94.3311688311688,2.86363636363636,88.7900432900433,,,,,,,,,,,,,,,,,,,,,,,,,0.0869628476457672,0.0255058053175272,0.0721413115985896,-0.609121253983812,0.245968077126458,serdp
rv_pond,usa,pennsylvania,rana_clamitans,adult,1,fall,1,20,17,17,7692.680802574,211169236.986716,9050.21270891059,237709644.378278,3.2717737877217,0.713006755373941,7693.15,211171246.660526,7692.3,211168817.378947,0.222159819212926,7690.16318662838,353.083866976284,7693.15000001455,371730.050414578,334.914079993387,0.366099983801339,4.04520861085272e-05,329.960176910642,7.53353755125665,1.88624473967546,332.838188574215,0.542077551420907,4933.16927813886,345.758480365603,0.000110494640530982,0.331658138236782,0.941115991798735,0,0.999995134482147,0.1786,0.175511586834272,0.267762486363633,0.433015688727828,0.733572800122517,0.140972828639304,0.258085469294247,0.231364614528425,1.70358816580064,serdp
