site,location,region,species,life_stage,temporal_group,season,year,N,num_infected,num_infected_discrete,mean_natural_with_zeros,var_natural_with_zeros,mean_natural_without_zeros,var_natural_without_zeros,mean_log10_without_zeros,var_log10_without_zeros,mean_discrete_ceiling_with_zeros,var_discrete_ceiling_with_zeros,mean_discrete_floor_with_zeros,var_discrete_floor_with_zeros,nbd_k,nbd_mu,nbd_aic,pois_lam,pois_aic,gamma_aic,gamma_shape,gamma_rate,lnorm_aic,lnorm_meanlog,lnorm_sdlog,weibull_aic,weibull_shape,weibull_scale,exp_aic,exp_rate,norm_gof_pvalue_sw,norm_gof_statistic_sw,norm_gof_pvalue_ks,norm_gof_statistic_ks,norm_gof_pvalue_kslc,norm_gof_statistic_kslc,norm_gof_pvalue_ad,norm_gof_statistic_ad,poulin_D,poulin_D_log,cv_log,log_cv,cv,dataset,prev,phase,site_id
11009,Southern Sierra,california,ramu,adult,2,summer,2,31,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sierra_nevada,0,"invasion
(Southern Sierra)",11009
11029,Southern Sierra,california,ramu,adult,2,summer,2,30,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sierra_nevada,0,"invasion
(Southern Sierra)",11029
11470,Southern Sierra,california,ramu,adult,2,summer,2,19,10,10,211740.631578947,365435334359.579,402307.2,645685888102.4,4.06547952188679,1.82097515096294,211740.631578947,365435334359.579,211740.631578947,365435334359.579,0.0525184424500152,211690.000383886,272.109378986619,211740.631579413,16717315.1949236,247.133519840898,0.278517062508697,6.92299472911987e-07,241.221786820186,9.36111254296909,2.94773849601804,244.139926373318,0.319532423771096,56241.406589028,280.099425097389,2.48566269756047e-06,0.0146392816365368,0.800345243840431,0,0.999999999976359,0.0162,0.288384757043143,0.0158903401665063,0.870257830039128,0.790643567900351,0.165229364359797,0.331925204801196,0.300452842246488,1.99734387560136,sierra_nevada,0.526315789473684,"post-invasion
(Southern Sierra)",11470
11489,Southern Sierra,california,ramu,adult,2,summer,2,19,1,1,2.52631578947368,121.263157894737,48,,1.68124123737559,,2.52631578947368,121.263157894737,2.52631578947368,121.263157894737,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,sierra_nevada,0.0526315789473684,"invasion
(Southern Sierra)",11489
11858,Southern Sierra,california,ramu,adult,2,summer,2,20,2,2,206.4,831404.463157895,2064,8128512,2.64595070023273,1.86132869545225,206.4,831404.463157895,206.4,831404.463157895,,,,,,,,,,,,,,,,,,,,,,,,,0.488372093023256,0.1822992134306,0.515620040087005,0.140295832650305,1.38132487487605,sierra_nevada,0.1,"invasion
(Southern Sierra)",11858
11985,Southern Sierra,california,ramu,adult,2,summer,2,10,1,1,19.2,3686.4,192,,2.28330122870355,,19.2,3686.4,19.2,3686.4,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,sierra_nevada,0.1,"invasion
(Southern Sierra)",11985
12503,Southern Sierra,california,ramu,adult,2,summer,2,13,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sierra_nevada,0,"invasion
(Southern Sierra)",12503
21111,Southern Sierra,california,ramu,adult,2,summer,2,12,3,3,188,158539.636363636,752,235776,2.77014189300362,0.177862418514456,188,158539.636363636,188,158539.636363636,0.0366629117576745,188.043748941592,68.9801001189215,188,7065.05904025201,,,,,,,,,,,,,,,,,,,,0.25531914893617,0.0593922796970665,0.152243963402554,-0.189968042837293,0.645701740659299,sierra_nevada,0.25,"invasion
(Southern Sierra)",21111
50133,Southern Sierra,california,ramu,adult,2,summer,2,18,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sierra_nevada,0,"invasion
(Southern Sierra)",50133
50183,Southern Sierra,california,ramu,adult,2,summer,2,43,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sierra_nevada,0,"invasion
(Southern Sierra)",50183
52127,Southern Sierra,california,ramu,adult,2,summer,2,14,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sierra_nevada,0,"invasion
(Southern Sierra)",52127
70556,Northern Sierra,california,ramu,adult,2,summer,2,29,2,2,6.62068965517241,612.886699507389,96,0,1.98227123303957,0,6.62068965517241,612.886699507389,6.62068965517241,612.886699507389,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-Inf,0,sierra_nevada,0.0689655172413793,"enzootic
(Northern Sierra)",70556
70583,Northern Sierra,california,ramu,adult,2,summer,2,10,4,4,64392,36067498624,160980,87470847552,4.28922685838422,1.38444407910178,64392,36067498624,64392,36067498624,0.0394148136892375,64420.7309704971,117.659220227526,64392,2617478.11734731,,,,,,,,,,,,,,,,,,,,0.711051062243757,0.13123426487827,0.274320770754099,0.264159744273489,1.83721399191817,sierra_nevada,0.4,"enzootic
(Northern Sierra)",70583
72996,Northern Sierra,california,ramu,adult,2,summer,2,513,393,393,24456.4210526316,14910344586.9474,31924.0305343511,19235731440.3664,3.54813925101277,0.913201158440352,24456.4210526316,14910344586.9474,24456.4210526316,14910344586.9474,0.138270777511425,24449.7274714806,8897.77704248366,24456.4210526316,54377896.0237179,8966.52640481588,0.0531169602345765,1.66385507548682e-06,8159.68541213429,8.16989254724906,2.19758495862497,8212.61919935694,0.469279872890947,11091.4100898357,8939.69585038391,3.13243654783494e-05,0.00491504928958229,0.989068885593708,0,0.999945849781315,0.0502,0.045558000007809,0.0349644221217527,0.814603510468942,0.84827201893772,0.153325777241546,0.269328660390658,0.63793663499528,4.34446832313993,sierra_nevada,0.766081871345029,"enzootic
(Northern Sierra)",72996
10220,Southern Sierra,california,ramu,larva,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sierra_nevada,0,"invasion
(Southern Sierra)",10220
10249,Southern Sierra,california,ramu,larva,2,summer,2,10,10,10,87556.8,3199639782.4,87556.8,3199639782.4,4.7973921393162,0.215540616337283,87556.8,3199639782.4,87556.8,3199639782.4,1.64541807248833,87582.2640610277,250.307894414961,87556.8,368277.385442917,251.902747755234,2.6621723234141,3.04050893067598e-05,253.587827794055,11.0464036252363,1.01414838551417,249.5217860108,1.51677805133642,96024.6569565963,249.600860092015,1.14211574657822e-05,0.025509122539075,0.820236015810813,0,1,0.0054,0.319027848799566,0.0182323325954779,0.848179410031113,0.333923578751165,0.0457886367412463,0.0967741445514634,-0.189739336766379,0.646041866553729,sierra_nevada,1,"post-invasion
(Southern Sierra)",10249
10470,Southern Sierra,california,ramu,larva,2,summer,2,13,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sierra_nevada,0,"invasion
(Southern Sierra)",10470
11342,Southern Sierra,california,ramu,larva,2,summer,2,10,9,9,196291.2,32461699174.4,218101.333333333,31167990016,5.23783516469242,0.0966849780409364,196291.2,32461699174.4,196291.2,32461699174.4,0.414516710558184,196356.805524637,261.415463711535,196291.2,1337503.80431922,,,,,,,,,,,,,,,,,,,,0.357395542948436,0.030225074729944,0.0593646175781518,-0.0918039225472596,0.809461276331353,sierra_nevada,0.9,"post-invasion
(Southern Sierra)",11342
11392,Southern Sierra,california,ramu,larva,2,summer,2,10,10,10,113462.4,2219064729.6,113462.4,2219064729.6,5.01018353498861,0.0522378374336158,113462.4,2219064729.6,113462.4,2219064729.6,5.0223135357741,113475.246189952,247.629876835531,113462.399999999,191772.194492759,247.989802507439,6.44601706998354,5.6811922451698e-05,249.213810912814,11.536373920829,0.499263179521872,246.463069684501,2.76192793598797,127331.637468134,254.784535669721,8.81349239924416e-06,0.133371542336036,0.880825564162229,0,1,0.1078,0.240430158922412,0.117118140787261,0.546401038998285,0.217192655893054,0.0223352355374011,0.0456182855485785,-0.381766980345816,0.415176744962476,sierra_nevada,1,"post-invasion
(Southern Sierra)",11392
12206,Southern Sierra,california,ramu,larva,2,summer,2,10,10,10,186172.8,11363443302.4,186172.8,11363443302.4,5.21058607466342,0.0572796337875,186172.8,11363443302.4,186172.8,11363443302.4,3.81952468878141,186145.875591447,259.805184534781,186172.8,501416.197054473,259.879758610547,3.38906580978551,1.82038719393247e-05,259.364069340873,11.9978178212824,0.522801782640569,260.726540317028,1.97672544968724,211265.537438753,264.688611073401,5.37135392495574e-06,0.966624188818321,0.980275276738551,0,1,0.859,0.136649931095644,0.910376897592088,0.167110199134198,0.285350384159233,0.0245207173569651,0.0459318081161911,-0.242161255802442,0.572583388317162,sierra_nevada,1,"post-invasion
(Southern Sierra)",12206
