site_id,year,capture_life_stage,bd_present,num_infected,num_samps,adult_abundance,prev,mean_bd,poulin_D
10091,2005,"",-1,0,0,93,-1,-1,-1
10091,2006,"",-1,0,0,7,-1,-1,-1
10091,2007,adult,1,1,3,16,0.333333333333333,1.68124123737559,0
10091,2009,adult,0,0,1,4,0,-1,-1
10091,2011,adult,1,1,11,76,0.0909090909090909,1.68124123737559,0
10091,2011,subadult,0,0,4,76,0,-1,-1
10091,2012,subadult,0,0,3,53,0,-1,-1
10091,2012,adult,0,0,6,53,0,-1,-1
10091,2013,adult,0,0,15,-1,0,-1,-1
10091,2013,subadult,0,0,5,-1,0,-1,-1
10091,2014,adult,0,0,10,-1,0,-1,-1
10091,2015,adult,1,2,2,-1,1,5.90265895417175,0.44716482240841
10091,2016,"",-1,0,0,8,-1,-1,-1
10095,2011,adult,0,0,12,69,0,-1,-1
10095,2012,adult,0,0,10,49,0,-1,-1
10095,2013,adult,0,0,10,-1,0,-1,-1
10095,2014,adult,0,0,10,-1,0,-1,-1
10095,2015,adult,1,1,10,16,0.1,1.98227123303957,0
10095,2016,adult,1,12,12,29,1,6.73933243295547,0.332254691974207
10100,2005,adult,0,0,3,88,0,-1,-1
10100,2007,adult,0,0,15,301,0,-1,-1
10100,2008,adult,0,0,8,-1,0,-1,-1
10100,2008,subadult,0,0,2,-1,0,-1,-1
10100,2009,adult,0,0,2,1159,0,-1,-1
10100,2009,subadult,0,0,3,1159,0,-1,-1
10100,2011,adult,1,1,9,659,0.111111111111111,1.98227123303957,0
10100,2011,subadult,0,0,9,659,0,-1,-1
10100,2012,adult,1,14,37,664,0.378378378378378,2.53335090319514,0.522321428571429
10100,2012,subadult,1,6,19,664,0.315789473684211,2.47613745838828,0.28030303030303
10100,2013,subadult,0,0,8,-1,0,-1,-1
10100,2013,adult,1,1,22,-1,0.0454545454545455,3.30449052777349,0
10100,2014,adult,0,0,16,-1,0,-1,-1
10100,2015,adult,1,369,372,973,0.991935483870968,6.14305585669739,0.636600867803571
10100,2016,adult,1,115,144,34,0.798611111111111,4.66492373718065,0.865176284629716
10100,2016,subadult,1,11,11,34,1,7.1094300910955,0.70506117748603
10100,2017,adult,1,21,22,5,0.954545454545455,3.90566085398095,0.925438886852941
10100,2017,subadult,1,2,2,5,1,3.69241947961981,0.13053801375904
10100,2018,adult,1,5,5,1,1,3.21773236078759,0.513376376661247
10101,2005,"",-1,0,0,265,-1,-1,-1
10101,2007,adult,1,2,9,328,0.222222222222222,2.67905883467436,0.05
10101,2007,subadult,0,0,1,328,0,-1,-1
10101,2008,adult,0,0,9,-1,0,-1,-1
10101,2008,subadult,0,0,1,-1,0,-1,-1
10101,2009,adult,0,0,10,945,0,-1,-1
10101,2009,subadult,0,0,3,945,0,-1,-1
10101,2011,adult,0,0,1,1684,0,-1,-1
10101,2012,adult,1,11,61,1085,0.180327868852459,2.30302339460021,0.291595197255575
10101,2012,subadult,1,3,10,1085,0.3,2.32266766606288,0.222222222222222
10101,2013,adult,0,0,26,-1,0,-1,-1
10101,2013,subadult,0,0,9,-1,0,-1,-1
10101,2014,adult,0,0,18,-1,0,-1,-1
10101,2014,subadult,0,0,2,-1,0,-1,-1
10101,2015,adult,1,378,389,564,0.971722365038561,5.00694404323897,0.838978121969744
10101,2016,adult,1,322,370,58,0.87027027027027,4.2185172642453,0.921167120059961
10101,2016,subadult,1,15,16,58,0.9375,5.94445106964199,0.676453414767464
10101,2017,subadult,1,3,3,8,1,3.77370244399812,0.598555484719302
10101,2017,adult,1,27,28,8,0.964285714285714,3.86125946409019,0.867931839358777
10101,2018,adult,1,6,7,1,0.857142857142857,3.90748772869027,0.734783805891948
10102,2005,adult,0,0,16,434,0,-1,-1
